id,username,content,rating,date,country,time_using_app
1431992,Loshen & Crem,"I regret having to leave a negative review for Shopify POS. Our experience has been terrible. We needed a system to consolidate our inventory in one place, and despite the bad reviews, we decided to give it a try anyway. Unfortunately, the negative reviews were right. It's disappointing to see a big company like Shopify unable to fix their POS issues. We've lost numerous sales because their hardware wasn't working properly. Now, the system is completely dead, and according to their support, we have to wait 48 hours for a resolution. TERRIBLE.",1,"June 10, 2024",Canada,Almost 5 years using the app
1452904,The Bark Side,"I'm looking for a new POS system. The checkout just hangs, sometimes as you're trying to add a product to cart, other times before loading the payment screen, and at other times when completing the payment. It's awful, even more so since the most recent update. It's also cumbersome to add products to the cart in the first place.  POS needs to be quick, and at the moment I'm losing customers because of this awful app.  I'm heading into my busy part of the year and I simply cannot rely on this app. If Shopify want to see what a good POS app looks like, then see how Zettle's works - it's head and shoulders above this one.  I wanted to be able to run my ecommerce store and POS via the same company, but now it's looking like I'll need to revert to Zettle for POS and keep the store with Shopify. That's more work for me, in terms of adding and syncing inventory, but this app is barely usable. Another minor issue is that, as the checkout is loading, the margin (in actual GBP) pops up quickly.  How would a customer feel if they saw that?  My life flashes befoe my eyes each time as I try to shield the tablet from them.   Seriously, Shopify - do better.  in the meantime, I'll decide whether to revert to Zettle or find another provder. Awful, awful, AWFUL app.",1,"July 1, 2024",United Kingdom,10 months using the app
1394646,Pet Grocer Inc.,"Shopify sells you this app with certain features, then at a whim, and with no notice to the users, takes away those features and functions. It is routinely changed (with no notice) so that you end up with multiple errors at the check out and constantly have to re-train staff, and re-work all your processes.  As an example, the save cart feature (which they still advertise as available) is gone. The 'improvement' is clunky, hard to use, and full of bugs. They removed the one button to search for a client in your system to assign to a sale. They introduced a bug where the cursor jumps in the middle of you typing. They changed the only good thing they had (their search engine) so now it tries to auto correct your spelling, for names!  This is just the most recent in a long line of frustrating choices by the devs at Shopify. Their careers page actually shows you they *encourage* their staff to change fast and create chaos. It's literally their value set and culture - to make sure that there is no stable system for users. We actively search for other pos systems routinely, and will continue to search until we find something that is better or Shopify finally listens to its user base and corrects this poorly designed system. We feel trapped and lied to. Go read the user forums before you decide to use this system.",1,"May 3, 2024",Canada,About 3 years using the app
1428773,Asia Superstore,"There's an issue with the printer on the app, it stops working several times a day, letting my customers waiting for so long without the printed receipt. Cannot know when it work when it stops, I paid for the Shopify Pro, such a scam. If this issue is not solved, I must quit this app and go back to my old system Lightspeed. Many people have the same issue that has been raised from last year but not solved yet.
 https://community.shopify.com/c/retail-and-point-of-sale/epson-tm-m30ii-bluetooth-printer-very-slow-to-print-a-receipt/m-p/1889791",1,"June 6, 2024",United Kingdom,Over 1 year using the app
1394946,Black Wagon Kids,"We do not recommend this app. 
 Recent changes to the app were not implemented with us (shop owners) in mind.  It was cumbersome and didn’t work correctly leaving our customers sitting at the counter…waiting…while we tried to ‘correct’ or re-enter their order! It seems the developers are not familiar with how shop owners utilized this app and install upgrades without warning, that do not work correctly and create bad data. Support for this app is sub-standard. It took about 6 weeks for a resolution to one of the issues and then created another. We have been using it for years and it had been pretty good.  
 Currently it barely deserves a one-star.",1,"May 3, 2024",United States,Over 5 years using the app
1409056,Addicted to Vintage Furniture,"I have been using the free version for 2 years. Although it wasn't perfect, it did the job. The last couple of months have been terrible, but even worse, the last week or so. Completely unusable. So slow. The time it take to do a product search is way too long and the lagging is terrible. I can honestly say, it is not fit for purpose. Customers are waiting too long. The extra steps to add something to the cart and no more 'save cart' is very disappointing. I would not recommend this app to anyone in it's current state. Side note - When using an IPAD, if you connect a barcode scanner via bluetooth, the keyboard disappears. If you have variables, you still have to go into the product and select it, but you cannot because there is no keyboard.",1,"May 18, 2024",Australia,Over 2 years using the app
1454434,Greedy Stitches,"Constant, constant, constant issues. Hardware that must be purchased from them is absorbently priced & not reliable. Even used hardware purchased cheaper is over priced & horrible. Card readers, scanners, printers are only consistent at disconnecting then slow to reconnect---if they even decide to reconnect. So many in person sales have been lost because of this. It's very embarrassing & makes us look unprofessional and ill prepared. After this past week's issues, I'm seriously debating leaving Shopify altogether. And YES, everything is up to date. It would be wonderful if there was a PC version and hard wired hardware. This wifi and bluetooth enabled garbage is extremely unreliable. Shopify has an excellent ecommerce platform, but their POS is very limited as to what can integrate and the hardware is, simply put, junk. I've brought these issues up before with a CSR in a chat, but none of my opinions or experiences have been taken seriously, nor have the issues been resolved. I feel as if I've wasted not just money, but time and valuable customers.",1,"July 2, 2024",United States,Over 1 year using the app
1449714,The Phan Shop,"The most recent changes have made the checkout process so slow! There is so much unnecessary tapping and lag to check a customer out, and there is zero customization to bypass it. If you are selling in a fast-paced environment, get ready for delays. We bought the 3 POS machines last summer and are now stuck in this ecosystem. This was a huge mistake.",1,"June 27, 2024",United States,Almost 6 years using the app
1462931,The Honey Exchange,"The system has an infuriating number of pointless ""updates,"" to the point where they begin to interfere with the operations of our business. I can't think of a single thing that was improved, just buttons moved to other places, landing screens that look fundamentally different from how they looked the day before, and functionality that inexplicably changes from day to day. It's like learning a new application every few days, while customers stare at you for looking like you don't know how to use your own POS system. 
 We sunk a lot of time and money into this thing and it provides constant frustration.",2,"July 10, 2024",United States,5 months using the app
1466083,FERAL,"Shopify is the king of Ecom. Unrivaled. Nothing more to say there. The Point of Sale is another monster altogether. Really shocked by the limitations. We migrated from a rival POS system expecting Shopify to outshine them on all fronts. It has been precisely the opposite. The UI is slick, but the features are barebones. Digital receipts don't scan. Can't run reports on inventory adjustments. Reporting altogether is very minimal. Can't reload gift cards. Label printing is worthless. I've been working the forums like crazy trying to find workarounds for this and workarounds for that. We've had to add more than a dozen apps on top of Shopify just to get close to the functionality that we had in our old POS system. Here's the kicker - Shopify + all of the apps that we've piled on is now almost $3,000/month. We were paying $350/month with our old system for better brick and mortar functionality. We were sold on Shopify Plus as the future - and for Ecom - it probably is. But if you have a brick and mortar store - they're not close yet. Tech support has been kind and helpful, but their hands are tied by a platform that is simply lacking basic functionality for a growing physical store. I'm writing this review in hopes that these problems get fixed. If they do - I'll be right over here to fix my review. But as it stands, we feel like we got sold.",3,"July 13, 2024",United States,12 months using the app
1458877,Hawaiian South Shore,"We've been trying to switch over to Shopify POS for four months. They have no solution to track serial numbers or consigment. 
 That they have apps that do it, but then you can't pull up reports on what sold crazy to think that they called us a POS. 
 Every POS has a tracking for this.
 Working with the on boarding team and as soon as they can't find a solution, it's hard to get a hold of anybody",2,"July 7, 2024",United States,Over 2 years using the app
1415450,Association Iris,"Almost exactly what we need... unfortunately, it does not allow sales in two currencies, whereas the store accept two currencies for the payment, IRIS",2,"May 24, 2024",Switzerland,About 2 years using the app
1442556,Anthology Puzzles UK,"Two main issues: 
 1. Constant updates mean sync between POS and the provided Wisepad 3 often fail, requiring customers to wait while it is performed.
 2. There is no self-checkout option. All the features needed to make this work alongside an appropriately configured ipad already exist so I can't understand why this isn't an option, especially on POS Pro.",2,"June 20, 2024",United Kingdom,23 days using the app
1371686,myfleury.com,"Stuck with unused WisePad3 device. I feel really stuck with the NO solution that Shopify offers me....  I bought this WisePad3 before a fair.  I was waiting for a fair to take place and ordered beforehand and then I did not use it and it was a horror to find the info to send it back to. It was a complete quest to even find the return possibilities. The device is unused, not even opened. I hade to go through a long servive procedure before I got the email that I am stuck with this and they advice me to sell it on eBay. Can you believe it? I can not understand the non-flexibel attitude of this big company, working with small online retailers.",1,"April 10, 2024",Netherlands,2 months using the app
1336373,Fearless hART,"This ap is not for Makers who travel out of their home tax area to do markets. There are other point of sale services that handle toggling taxes on and off in a more efficient and simple manner. While the thought of having synchronized inventory tallies between online and in person sales is appealing, this point of sale ap really doesn't manage the different sales tax collection requirements when you sell in person in a Province that is not your home Province. Glad I realized this before I subscribed to Pro.",1,"March 7, 2024",Canada,About 8 years using the app
1343735,Fabric Garden Australia,"Until recently, I would have given this app a 5 star rating. However, the arbitrary removal of the saved cart function to be replaced with draft orders (a different workflow) on the paid plan (US $89 a month) is a bit extreme for a small business.
 Really they need to reintroduce the feature else will need to look at Square POS again.",1,"March 14, 2024",Australia,Over 2 years using the app
